"id","note","code","name","reconcile","user_type_id:id","chart_template_id:id"
"lt_acc_12121","","12121","12121 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12122","","12122","12122 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12123","","12123","12123 Kapitalizuotos remonto, rekonstravimo išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12126","","12126","12126 Kapitalizuotų remonto, rekonstravimo išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12127","","12127","12127 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12128","","12128","12128 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12129","","12129","12129 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1213","","1213","1213 Statiniai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12130","","12130","12130 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12131","","12131","12131 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12132","","12132","12132 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12133","","12133","12133 Kapitalizuotos remonto, rekonstravimo išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12136","","12136","12136 Kapitalizuotų remonto, rekonstravimo išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12137","","12137","12137 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12138","","12138","12138 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12139","","12139","12139 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_122","","122","122 Mašinos, įranga ir įrengimai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1220","","1220","1220 Mašinos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12200","","12200","12200 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12201","","12201","12201 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12202","","12202","12202 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12203","","12203","12203 Kapitalizuotos remonto išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12206","","12206","12206 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12207","","12207","12207 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12208","","12208","12208 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12209","","12209","12209 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1221","","1221","1221 Įrengimai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12210","","12210","12210 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12211","","12211","12211 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12212","","12212","12212 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12213","","12213","12213 Kapitalizuotos remonto išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12216","","12216","12216 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12217","","12217","12217 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12218","","12218","12218 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12219","","12219","12219 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1222","","1222","1222 Įranga","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12220","","12220","12220 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12221","","12221","12221 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12222","","12222","12222 Ruošiama naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12223","","12223","12223 Kapitalizuotos remonto išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12226","","12226","12226 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12227","","12227","12227 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12228","","12228","12228 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12229","","12229","12229 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_123","","123","123 Transporto priemonės","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1230","","1230","1230 Lengvieji automobiliai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12300","","12300","12300 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12301","","12301","12301 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12302","","12302","12302 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12303","","12303","12303 Kapitalizuotos remonto išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12306","","12306","12306 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12307","","12307","12307 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12308","","12308","12308 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12309","","12309","12309 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1231","","1231","1231 Krovininiai automobiliai, priekabos, puspriekabės ir autobusai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12310","","12310","12310 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12311","","12311","12311 Vertės pokytis dėl perkainojimo","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12312","","12312","12312 Ruošiami naudoti","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12313","","12313","12313 Kapitalizuotos remonto išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12316","","12316","12316 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12317","","12317","12317 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12318","","12318","12318 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12319","","12319","12319 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1232","","1232","1232 Kitos transporto priemonės","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12320","","12320","12320 Įsigijimo savikaina","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12321","","12321","12321 Vertės pokytis dėl perkainojimo","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12322","","12322","12322 Ruošiamos naudoti","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12323","","12323","12323 Kapitalizuotos remonto išlaidos","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12326","","12326","12326 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12327","","12327","12327 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12328","","12328","12328 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12329","","12329","12329 Vertės sumažėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_124","","124","124 Kiti įrenginiai, prietaisai ir įrankiai","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1240","","1240","1240 Įsigijimo savikaina","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1241","","1241","1241 Vertės pokytis dėl perkainojimo","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1242","","1242","1242 Ruošiami naudoti","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1243","","1243","1243 Kapitalizuotos remonto išlaidos","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1246","","1246","1246 Kapitalizuotų remonto išlaidų nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1247","","1247","1247 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1248","","1248","1248 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1249","","1249","1249 Vertės sumažėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_125",".","125","125 Investicinis turtas","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1250","","1250","1250 Žemė","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12500","","12500","12500 Įsigijimo savikaina","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12503","","12503","12503 Tikrosios vertės pokytis (+/-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_12509","","12509","12509 Vertės sumažėjimas (-)","1","account.data_account_type_liquidity","l10n_lt_account_chart_template"
"lt_acc_1251","","1251","1251 Pastatai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12510","","12510","12510 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12513","","12513","12513 Kapitalizuotos remonto, rekonstrukcijos išlaidos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12514","","12514","12514 Tikrosios vertės pokytis (+/-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12516","","12516","12516 Kapitalizuotų remonto, rekonstravimo išlaidų nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12517","","12517","12517 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_12519","","12519","12519 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_126","","126","126 Sumokėti avansai ir vykdomi materialiojo turto statybos (gamybos) darbai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1260","","1260","1260 Sumokėti avansai už ilgalaikį materialųjį turtą","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1261","","1261","1261 Vykdomi ilgalaikio materialiojo turto statybos (gamybos) darbai","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_12610","","12610","12610 Įsigijimo savikaina","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_12611","","12611","12611 Vertės pokytis dėl perkainojimo ","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_12619","","12619","12619 Vertės sumažėjimas (-)","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_127","","127","127 Turtas, kuris pagal įstatymus gali būti tik valstybės nuosavybė","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_1270","","1270","1270 Įsigijimo savikaina","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_1271","","1271","1271 Vertės pokytis dėl perkainojimo","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_1272","","1272","1272 Ruošiamas naudoti","1","account.data_account_type_payable","l10n_lt_account_chart_template"
"lt_acc_1277","","1277","1277 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1278","","1278","1278 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1279","","1279","1279 Vertės sumažėjimas (-)","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_128","","128","128 Centralizuotai valdomas valstybės turtas","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1280","","1280","1280 Įsigijimo savikaina","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1281","","1281","1281 Vertės pokytis dėl perkainojimo","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1282","","1282","1282 Ruošiamas naudoti","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1287","","1287","1287 Įsigijimo savikainos nusidėvėjimas (-)","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1288","","1288","1288 Perkainotos dalies nusidėvėjimas (-)","1","account.data_account_type_receivable","l10n_lt_account_chart_template"
"lt_acc_1289","","1289","1289 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16","","16","16 FINANSINIS TURTAS","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_160","","160","160 Įmonių grupės įmonių akcijos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1600","","1600","1600 Patronuojančiosios įmonės akcijos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16000","Sąskaita naudojama pirmą kartą pripažįstant investicijas.","16000","16000 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16009","Sąskaita naudojama investicijas apskaitant įsigijimo savikaina.","16009","16009 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1601","","1601","1601 Patronuojamųjų (dukterinių) įmonių akcijos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16010","Sąskaita naudojama pirmą kartą pripažįstant investicijas.","16010","16010 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16019","Sąskaita naudojama investicijas apskaitant įsigijimo savikaina.","16019","16019 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_161","","161","161 Paskolos įmonių grupės įmonėms ","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1610","","1610","1610 Paskolos patronuojančiajai įmonei","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16100","","16100","16100 Nominalioji vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16102","","16102","16102 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16109","","16109","16109 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1611","","1611","1611 Paskolos patronuojamosioms (dukterinėms) įmonėms","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16110","","16110","16110 Pradinė vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16112","","16112","16112 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16119","","16119","16119 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_162","","162","162 Iš įmonių grupės įmonių gautinos sumos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1620","","1620","1620 Iš patronuojančiosios įmonės gautinos sumos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16200","","16200","16200 Pradinė vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16202","","16202","16202 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16209","","16209","16209 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1621","","1621","1621 Iš patronuojamųjų (dukterinių) įmonių gautinos sumos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16210","","16210","16210 Pradinė vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16212","","16212","16212 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16219","","16219","16219 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_163","","163","163 Asocijuotųjų įmonių akcijos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1630","Sąskaita naudojama pirmą kartą pripažįstant investicijas.","1630","1630 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1639","Sąskaita naudojama investicijas apskaitant įsigijimo savikaina.","1639","1639 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_164","","164","164  Paskolos asocijuotosioms įmonėms","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1640","","1640","1640 Pradinė vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1642","","1642","1642 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1649","","1649","1649 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_165","","165","165  Iš asocijuotųjų įmonių gautinos sumos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1650","","1650","1650 Nominalioji vertė","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1652","","1652","1652 Sukauptos palūkanų pajamos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1659","","1659","1659 Abejotinos skolos (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_166","","166","166 Ilgalaikės investicijos","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1660","","1660","1660 Kitų įmonių nuosavybės vertybiniai popieriai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16600","Sąskaita naudojama pirmą kartą pripažįstant investicijas.","16600","16600 Įsigijimo savikaina","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16601","Sąskaita naudojama investicijas apskaitant įsigijimo savikaina.","16601","16601 Tikrosios vertės pokytis (+/-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16609","","16609","16609 Vertės sumažėjimas (-)","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_1661","","1661","1661 Ne nuosavybės vertybiniai popieriai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
"lt_acc_16610","","16610","16610 Iki išpirkimo laikomi ne nuosavybės vertybiniai popieriai","1","account.data_account_type_expenses","l10n_lt_account_chart_template"
